codice_territorio,comune,2014,2015,2016,2017
"005103","Scurzolengo","16.22","16.17","23.85","18.69",
"005104","Serole","30.77","16","16.53","25.75",
"005105","Sessame","10.95","21.9","7.43","18.83",
"005106","Settime","14.3","22.08","16.7","20.09",
"005107","Soglio","6.6","40.54","20.48","34.36",
"005108","Tigliole","15.78","17.03","11.13","16.28",
"005109","Tonco","14.86","10.37","22.14","18.9",
"005110","Tonengo","64.97","61.54","79.83","33.06",
"005111","Vaglio Serra","28.93","21.78","7.21","3.53",
"005112","Valfenera","17.94","13.73","9.75","13.81",
"005113","Vesime","26.92","9.68","14.46","16",
"005114","Viale","16.1","3.96","39.84","28.63",
"005115","Viarigi","15.09","15.12","10.8","13.02",
"005116","Vigliano d'Asti","19.77","11.78","14.58","14.95",
"005117","Villafranca d'Asti","12.57","11.22","11.37","15.38",
"005118","Villanova d'Asti","7.57","10.76","9.46","11.1",
"005119","Villa San Secondo","17.22","17.57","5.08","15.46",
"005120","Vinchio","11.25","13.15","11.68","18.71",
"005121","Montiglio Monferrato","23.1","26.5","21.19","21.91",
"006001","Acqui Terme","14.3","15.95","14.7","15.4",
"006002","Albera Ligure","18.52","12.38","28.26","22.58",
"006003","Alessandria","11.58","12.8","12.64","12.16",
"006004","Alfiano Natta","24.18","25.59","16.1","11.78",
"006005","Alice Bel Colle","15.74","11.89","10.46","15.81",
"006006","Alluvioni Cambiò","16.99","14.08","17.57","8.81",
"006007","Altavilla Monferrato","16.63","16.86","6.5","15.52",
"006008","Alzano Scrivia","2.54","15.44","7.95","13.37",
"006009","Arquata Scrivia","11.91","13.91","12.49","16.4",
"006010","Avolasca","16.47","23.53","28.32","14.76",
"006011","Balzola","21.06","22.64","11.78","21.26",
"006012","Basaluzzo","13.2","21.4","10.04","21.47",
"006013","Bassignana","9.69","14.48","13.49","17.79",
"006014","Belforte Monferrato","13.46","11.66","21.28","29.27",
"006015","Bergamasco","9.36","21.38","17.62","16.46",
"006016","Berzano di Tortona","12.46","18.81","19.11","12.82",
"006017","Bistagno","14.91","15.19","14.37","16.28",
"006018","Borghetto di Borbera","20.03","15.71","10.08","17.04",
"006019","Borgoratto Alessandrino","19.77","27.1","13.69","17.32",
"006020","Borgo San Martino","7.5","16.63","13.34","14.13",
"006021","Bosco Marengo","12.62","11.79","12.71","18.77",
"006022","Bosio","16.12","13.81","15.73","15.94",
"006023","Bozzole","9.23","18.66","15.08","14.58",
"006024","Brignano-Frascata","19.8","8.81","24.28","20.39",
"006025","Cabella Ligure","18.05","29.63","15.08","32.11",
"006026","Camagna Monferrato","18.78","18.83","15.19","21.22",
"006027","Camino","12.42","17.34","17.33","21.55",
"006028","Cantalupo Ligure","22.92","13.33","13.37","19.53",
"006029","Capriata d'Orba","5.7","13.57","15.36","15.01",
"006030","Carbonara Scrivia","10.71","14.23","7.1","10.61",
"006031","Carentino","17.32","20.41","11.99","12.16",
"006032","Carezzano","16.07","9.27","18.52","11.47",
"006033","Carpeneto","11.02","23.35","16.46","13.37",
"006034","Carrega Ligure","69.36","35.71","11.9","11.76",
"006035","Carrosio","15.43","9.77","9.86","5.93",
"006036","Cartosio","12.94","21.16","25.3","9.3",
"006037","Casal Cermelli","22.76","19.56","17.71","27.51",
"006038","Casaleggio Boiro","15.48","7.97","13.48","5.38",
"006039","Casale Monferrato","14.99","15.07","14.56","13.95",
"006040","Casalnoceto","21.97","21.31","22.67","16.63",
"006041","Casasco","38.17","39.37","7.46","14.49",
"006042","Cassano Spinola","12.9","18.2","20.5","13.68",
"006043","Cassine","14.05","16.85","15.84","18.9",
"006044","Cassinelle","9.46","12.92","13.05","11.96",
"006045","Castellania","22.35","0","10.99","0",
"006046","Castellar Guidobono","11.93","12.22","12.5","25.38",
"006047","Castellazzo Bormida","13.53","13.04","13.86","15.04",
"006048","Castelletto d'Erro","12.99","39.6","6.54","0",
"006049","Castelletto d'Orba","11.54","11.18","15.79","9.59",
"006050","Castelletto Merli","6.15","18.73","16.88","19.4",
"006051","Castelletto Monferrato","12.14","12.29","10.45","8.52",
"006052","Castelnuovo Bormida","15.8","12.99","21.61","17.24",
"006053","Castelnuovo Scrivia","13.27","14.49","14.26","13.6",
"006054","Castelspina","16.59","19.12","21.71","12.03",
"006055","Cavatore","10.14","27.26","34.13","34.42",
"006056","Cella Monte","1.99","8.02","6.04","9.97",
"006057","Cereseto","18.12","11.4","14.07","16.93",
"006058","Cerreto Grue","21.84","15.55","15.62","9.65",
"006059","Cerrina Monferrato","13.62","20.78","14.86","17.37",
"006060","Coniolo","24.18","15.3","6.53","15.28",
"006061","Conzano","14","21.31","20.61","24.01",
"006062","Costa Vescovato","16.39","20.23","17.96","21.15",
"006063","Cremolino","12.97","7.38","11.99","20.38",
"006064","Cuccaro Monferrato","23.32","20.62","23.95","24.58",
"006065","Denice","16.57","16.9","11.46","34.78",
"006066","Dernice","20.05","36.84","32.7","38.67",
"006067","Fabbrica Curone","17.86","21.29","20","23.53",
"006068","Felizzano","6.32","11.02","10.72","14.77",
"006069","Fraconalto","11.64","5.93","6.04","12.21",
"006070","Francavilla Bisio","14.8","20.48","17.19","17.58",
"006071","Frascaro","11.31","9.06","43.53","27.75",
"006072","Frassinello Monferrato","15.3","7.86","18.13","18.26",
"006073","Frassineto Po","10.15","15.69","17.25","22.46",
"006074","Fresonara","6.73","14.87","25.09","17.22",
"006075","Frugarolo","15.51","15.14","11.65","15.73",
"006076","Fubine Monferrato","11.44","17.49","13.29","20.25",
"006077","Gabiano","19.31","23.81","20.76","28.02",
"006078","Gamalero","15.1","16.49","13","20.24",
"006079","Garbagna","15.35","21.29","18.83","24.93",
"006080","Gavazzana","10.87","16.81","22.54","11.49",
"006081","Gavi","12.87","11.25","13.04","15.79",
"006082","Giarole","15.35","19.53","20.78","27.91",
"006083","Gremiasco","20.93","12.18","9.32","15.67",
"006084","Grognardo","32.49","22.73","11.61","31.31",
"006085","Grondona","26.64","21.38","17.86","26.26",
"006086","Guazzora","6.45","25.97","3.27","13.07",
"006087","Isola Sant'Antonio","8.25","11.09","12.6","17.17",
"006088","Lerma","11.42","8","21.9","21.14",
"006089","Lu","11.29","26.49","17.94","19.9",
"006090","Malvicino","0","23.53","24.24","25",
"006091","Masio","13.32","13.37","9.92","16.51",
"006092","Melazzo","12.03","17.38","18.29","14.65",
"006093","Merana","21.28","10.7","31.25","10.42",
"006094","Mirabello Monferrato","15.84","21.76","15.45","9.71",
"006095","Molare","10.67","10.84","10.68","19.33",
"006096","Molino dei Torti","9.53","16.29","16.61","13.42",
"006097","Mombello Monferrato","14.89","22.8","15.3","17.12",
"006098","Momperone","35.4","13.36","27.65","4.6",
"006099","Moncestino","17.98","13.82","14.18","19.66",
"006100","Mongiardino Ligure","11.98","24.24","18.18","12.35",
"006101","Monleale","13.55","22.57","15.83","17.73",
"006102","Montacuto","23.85","21.05","29.36","18.87",
"006103","Montaldeo","14.55","26.22","18.9","34.55",
"006104","Montaldo Bormida","16","23.67","21.23","14.04",
"006105","Montecastello","21.77","3.13","15.75","6.37",
"006106","Montechiaro d'Acqui","17.59","19.57","12.67","23.96",
"006107","Montegioco","18.35","18.87","18.99","15.53",
"006108","Montemarzino","20","11.66","23.85","33.95",
"006109","Morano sul Po","16.21","16.55","12.64","12",
"006110","Morbello","16.87","22.14","7.44","12.09",
"006111","Mornese","9.48","9.47","10.85","12.26",
"006112","Morsasco","12.96","13.18","19.23","11.96",
"006113","Murisengo","20.94","18.8","17.47","17.69",
"006114","Novi Ligure","13","14.91","12.99","14.22",
"006115","Occimiano","14.94","23.27","9.89","11.5",
"006116","Odalengo Grande","29.21","34.17","34.76","35.71",
"006117","Odalengo Piccolo","14.84","18.9","18.69","25.97",
"006118","Olivola","8","16.33","16.53","42.02",
"006119","Orsara Bormida","16.85","14.35","23.78","29.13",
"006120","Ottiglio","22.8","14.08","19.09","17.54",
"006121","Ovada","15.1","15.24","16.18","14.07",
"006122","Oviglio","18.05","18.2","20.62","13.51",
"006123","Ozzano Monferrato","11.56","18.63","16.8","14.79",
"006124","Paderna","22.22","22.37","13.76","38.1",
"006125","Pareto","12.31","26.71","31.11","35.51",
"006126","Parodi Ligure","19.64","12.63","27.07","22.47",
"006127","Pasturana","11.41","12.14","8.37","9.96",
"006128","Pecetto di Valenza","19.06","11.84","16.77","14.59",
"006129","Pietra Marazzi","15.27","13.19","10.95","10.83",
"006130","Piovera","16.19","21.1","8.26","22.69",
"006131","Pomaro Monferrato","13.89","16.71","24.42","18.62",
"006132","Pontecurone","16.98","16.63","19.79","15.44",
"006133","Pontestura","19.66","24.6","25.11","20.01",
"006134","Ponti","11.46","6.59","4.98","25.21",
"006135","Ponzano Monferrato","26.95","13.87","25.79","14.79",
"006136","Ponzone","27.12","18.07","35.9","27.82",
"006137","Pozzol Groppo","26.67","24.28","21.71","25.81",
"006138","Pozzolo Formigaro","11.21","13.17","13.22","10.37",
"006139","Prasco","16.78","15.21","15.72","32.42",
"006140","Predosa","14.5","19.46","14.29","17.41",
"006141","Quargnento","13.27","12.7","17.21","10.71",
"006142","Quattordio","7.22","13.34","14.04","11.65",
"006143","Ricaldone","14.5","10.24","17.53","22.35",
"006144","Rivalta Bormida","14.58","20.83","19.38","12.51",
"006145","Rivarone","21.28","15.67","10.4","12.56",
"006146","Roccaforte Ligure","14.55","14.93","14.98","31.13",
"006147","Rocca Grimalda","18.52","15.3","17.25","12.64",
"006148","Rocchetta Ligure","9.73","4.99","14.78","14.29",
"006149","Rosignano Monferrato","8.76","10.78","17.89","17.44",
"006150","Sala Monferrato","27.14","16.78","25.6","31.79",
"006151","Sale","19.93","20.81","18.81","20.73",
"006152","San Cristoforo","11.39","14.84","16.57","13.43",
"006153","San Giorgio Monferrato","14.76","15.73","10.35","13.69",
"006154","San Salvatore Monferrato","18.33","14.8","13.09","15.52",
"006155","San Sebastiano Curone","15.2","15.29","27.54","20.78",
"006156","Sant'Agata Fossili","23.01","16.37","21.23","21.77",
"006157","Sardigliano","28.4","22","24.75","17.33",
"006158","Sarezzano","9.45","12.86","14.62","14.68",
"006159","Serralunga di Crea","15.68","14.25","16.25","14.84",
"006160","Serravalle Scrivia","12.81","15.18","13.62","13.94",
"006161","Sezzadio","18.5","22.15","13.64","16.06",
"006162","Silvano d'Orba","10.95","17.01","15.59","18.14",
"006163","Solero","19.81","12.92","21.22","14.42",
"006164","Solonghello","17.74","31.11","8.81","40.45",
"006165","Spigno Monferrato","26.05","16.1","21.02","20.41",
"006166","Spineto Scrivia","14.77","20.59","18.13","20.71",
"006167","Stazzano","15.39","13.34","15.06","9.91",
"006168","Strevi","10.75","18.21","15.54","17.36",
"006169","Tagliolo Monferrato","17.37","12.58","12.71","15.32",
"006170","Tassarolo","4.51","5.99","9.04","21.44",
"006171","Terruggia","19.42","10.69","16.07","8.59",
"006172","Terzo","8.83","7.66","10.92","17.87",
"006173","Ticineto","17.95","13.05","20.66","13.46",
"006174","Tortona","11.88","13.62","12.28","13.08",
"006175","Treville","10.43","21.28","20.98","13.84",
"006176","Trisobbio","13.78","10.69","12.01","14.79",
"006177","Valenza","11.43","13.66","14.49","12.73",
"006178","Valmacca","28.03","20.49","18.67","22.64",
"006179","Vignale Monferrato","26.19","19.74","17.09","17.31",
"006180","Vignole Borbera","13.64","11.43","14.73","12.22",
"006181","Viguzzolo","9.03","12.59","10.15","12.38",
"006182","Villadeati","22.13","24.54","6.21","10.35",
"006183","Villalvernia","7.23","12.47","20.05","21.75",
"006184","Villamiroglio","24.65","19.17","29.32","6.5",
"006185","Villanova Monferrato","12.74","16.56","22.41","20.98",
"006186","Villaromagnano","15.56","9.8","11.39","14.61",
"006187","Visone","9.11","16.65","10.68","20.19",
"006188","Volpedo","18.31","16.16","10.69","13.37",
"006189","Volpeglino","19.11","13.33","20.69","21.43",
"006190","Voltaggio","14.78","17.53","13.7","20.75",
"007001","Allein","4.26","25.97","4.45","27.33",
"007002","Antey-Saint-André","19.12","12.96","6.76","12.13",
"007003","Aosta","11.02","14.02","12.77","13",
"007004","Arnad","15.4","11.73","12.59","11.9",
"007005","Arvier","16.92","13.64","5.7","10.3",
"007006","Avise","6.21","12.86","3.32","6.72",
"007007","Ayas","8.46","7.81","5.01","12.99",
"007008","Aymavilles","10.07","9.12","9.11","16.38",
"007009","Bard","0","8.3","25.42","34.78",
"007010","Bionaz","4.29","12.79","4.22","8.46",
"007011","Brissogne","6.79","11.75","16.19","11.44",
"007012","Brusson","12.3","10.05","15.68","16.89",
"007013","Challand-Saint-Anselme","7.84","14.56","18.53","10.65",
"007014","Challand-Saint-Victor","15.33","12.21","16.19","10.86",
"007015","Chambave","11.65","8.61","9.63","8.53",
"007016","Chamois","19.51","20.2","10.2","10.31",
"007017","Champdepraz","12.58","14.02","9.8","4.2",
"007018","Champorcher","7.76","10.32","7.68","17.86",
"007019","Charvensod","8.43","6.86","8.93","9.83",
"007020","Châtillon","13.56","10.4","11.34","10.63",
"007021","Cogne","12.41","14.69","14.93","13.02",
"007022","Courmayeur","7.44","7.83","5.35","8.25",
"007023","Donnas","11.07","17.42","10.99","16.62",
"007024","Doues","3.96","9.8","15.67","11.8",
"007025","Emarèse","0","21.74","0","21.6",
"007026","Etroubles","11.54","13.71","6.04","4.07",
"007027","Fénis","14.47","15","9.91","14.84",
"007028","Fontainemore","11.16","15.8","16.02","11.52",
"007029","Gaby","12.88","17.22","19.44","19.46",
"007030","Gignod","7.13","7.68","12.27","11.04",
"007031","Gressan","6.55","10.07","11.2","6.79",
"007032","Gressoney-La-Trinité","13.18","16.47","9.93","6.66",
"007033","Gressoney-Saint-Jean","8.67","13.61","7.42","12.29",
"007034","Hône","14.62","15.48","8.54","16.39",
"007035","Introd","9.05","11.98","7.59","4.56",
"007036","Issime","9.2","21.08","7.18","2.42",
"007037","Issogne","11.22","10.63","13.01","10.89",
"007038","Jovençan","6.68","5.41","6.75","12.15",
"007039","La Magdeleine","0","18.35","0","0",
"007040","La Salle","9.44","14.76","11.04","11.61",
"007041","La Thuile","6.37","16.82","13.15","5.18",
"007042","Lillianes","10.55","29.95","8.63","17.37",
"007043","Montjovet","9.47","6.12","11.69","8.98",
"007044","Morgex","7.1","7.63","8.1","4.75",
"007045","Nus","8.03","12.34","7.38","10.39",
"007046","Ollomont","25.81","6.43","12.9","12.9",
"007047","Oyace","13.95","4.61","0","4.71",
"007048","Perloz","12.64","18.79","6.28","8.35",
"007049","Pollein","6.37","9.54","7.71","11.72",
"007050","Pontboset","21.33","16.13","16.35","5.52",
"007051","Pontey","8.56","7.36","14.64","12.22",
"007052","Pont-Saint-Martin","9.14","13.41","10.95","12.11",
"007053","Pré-Saint-Didier","6.61","12.32","9.62","9.74",
"007054","Quart","9.78","8.7","8.89","10.09",
"007055","Rhêmes-Notre-Dame","10.87","0","0","0",
"007056","Rhêmes-Saint-Georges","14.96","10.18","15.87","39.22",
"007057","Roisan","7.79","7.75","10.63","10.75",
"007058","Saint-Christophe","6.16","11.07","6.98","6.08",
"007059","Saint-Denis","10.35","7.83","10.64","13.46",
"007060","Saint-Marcel","8.9","16.08","12.56","10.39",
"007061","Saint-Nicolas","9.26","9.6","9.72","9.79",
"007062","Saint-Oyen","24.04","14.74","9.98","20.41",
"007063","Saint-Pierre","12.52","9.14","10.07","12.8",
"007064","Saint-Rhémy-en-Bosses","2.96","8.89","8.97","3",
"007065","Saint-Vincent","10.53","11.06","12.5","12.99",
"007066","Sarre","8.71","6.49","7.95","10.45",
"007067","Torgnon","9.1","16.2","5.34","6.94",
"007068","Valgrisenche","10.1","10.15","10.31","5.21",
"007069","Valpelline","13.76","6.08","12.38","17.46",
"007070","Valsavarenche","12.16","6.21","6.13","12.16",
"007071","Valtournenche","8.05","5.74","11.4","13.54",
"007072","Verrayes","7.55","16.76","16.12","9.97",
"007073","Verrès","8.82","10.33","14.23","9.08",
"007074","Villeneuve","5.45","10.86","7.82","8.65",
"008001","Airole","13.79","21.63","7.43","12.36",
"008002","Apricale","24.39","6.44","9.58","6.44",
"008003","Aquila d'Arroscia","17.7","5.99","24.62","25.24",
"008004","Armo","43.29","0","0","26.79",
"008005","Aurigo","20.14","17.34","20.29","20.59",
"008006","Badalucco","21.4","16.57","18.56","16.89",
"008007","Bajardo","15.9","12.78","9.33","15.22",
"008008","Bordighera","14.61","15.29","12.33","14.76",
"008009","Borghetto d'Arroscia","12.73","40.95","19.82","26.64",
"008010","Borgomaro","19.37","12.69","17.2","19.32",
"008011","Camporosso","9.71","9.72","10.66","10.73",
"008012","Caravonica","10.71","21.24","14.49","26.12",
"008013","Carpasio","5.93","0","18.13","31.25",
"008014","Castellaro","4","7.97","8.73","7.11",
"008015","Castel Vittorio","26.32","24.14","13.82","17.24",
"008016","Ceriana","14.2","15.94","8.87","13.92",
"008017","Cervo","14.21","12.63","12.78","13.92",
"008018","Cesio","24.22","10.73","7.12","10.68",
"008019","Chiusanico","16.47","13.16","13.36","22.24",
"008020","Chiusavecchia","8.56","3.44","17.41","12.41",
"008021","Cipressa","7.88","10.91","9.33","12.52",
"008022","Civezza","11.11","12.99","9.93","13.36",
"008023","Cosio d'Arroscia","43.48","18.02","27.33","23.7",
"008024","Costarainera","13.03","8.41","8.4","20.56",
"008025","Diano Arentino","12.66","11.26","6.89","4.14",
"008026","Diano Castello","11.55","13.04","10.37","11.18",
"008027","Diano Marina","14.62","15.47","13.06","16.56",
"008028","Diano San Pietro","12.24","13.05","9.65","7",
"008029","Dolceacqua","11.14","14.93","14.44","21.08",
"008030","Dolcedo","8.93","14.01","16.28","13.6",
"008031","Imperia","12.57","12.31","11.36","12.08",
"008032","Isolabona","8.78","10.33","5.81","14.36",
"008033","Lucinasco","14.68","3.69","25.04","10.53",
"008034","Mendatica","10.1","31.17","21.8","16.26",
"008035","Molini di Triora","12.89","19.48","9.77","18.11",
"008036","Montalto Ligure","16.42","8.05","15.5","20.43",
"008037","Montegrosso Pian Latte","50.63","0","16.81","0",
"008038","Olivetta San Michele","0","18.35","4.6","22.83",
"008039","Ospedaletti","10.79","13.12","11.6","18.05",
"008040","Perinaldo","15.95","13.82","30.84","14.84",
"008041","Pietrabruna","16.93","27.18","30.52","14.68",
"008042","Pieve di Teco","17.51","22.94","11.92","14.15",
"008043","Pigna","18.62","29.17","22.38","8.32",
"008044","Pompeiana","11.95","18","12.2","9.65",
"008045","Pontedassio","7.64","14.13","9.87","13.31",
"008046","Pornassio","12.29","16.49","20.07","11.5",
"008047","Prelà","10.14","18.05","18.05","16.13",
"008048","Ranzo","12.56","14.23","19.64","23.26",
"008049","Rezzo","16.33","16.33","30.68","26.09",
"008050","Riva Ligure","16.63","13.15","16.28","15.68",
"008051","Rocchetta Nervina","14.23","3.47","3.35","0",
"008052","San Bartolomeo al Mare","12.24","8","13.57","12.07",
"008053","San Biagio della Cima","8.3","8.27","11.3","14.45",
"008054","San Lorenzo al Mare","10.47","11.44","7.76","16.44",
"008055","Sanremo","14.37","14.93","14.63","14.5",
"008056","Santo Stefano al Mare","14.34","16.26","10.39","14.08",
"008057","Seborga","12.29","18.72","9.65","13.25",
"008058","Soldano","8.09","11.16","5.02","11.73",
"008059","Taggia","9.89","13.3","13.49","13.68",
"008060","Terzorio","17.66","13.67","22.37","0",
"008061","Triora","29.29","27.51","19.55","14.08",
"008062","Vallebona","9.85","11.41","10.63","13.62",
"008063","Vallecrosia","13.01","13.81","13.21","13.63",
"008064","Vasia","26.83","20.28","15.38","20.1",
"008065","Ventimiglia","11.03","11.95","11.8","13.76",
"008066","Vessalico","16.84","6.91","10.56","10.49",
"008067","Villa Faraldi","8.76","24.44","4.43","6.44",
"009001","Alassio","13.46","13.49","13.88","13.7",
"009002","Albenga","12.5","12.17","11.58","12.16",
"009003","Albissola Marina","11.37","18","12.46","17.01",
"009004","Albisola Superiore","13.01","14.57","15.72","13.24",
"009005","Altare","25.06","25.05","20.51","22.33",
"009006","Andora","12.19","12.92","12.2","12.22",
"009007","Arnasco","13.53","12.23","17.2","12.64",
"009008","Balestrino","17.18","10.14","15.29","14.1",
"009009","Bardineto","14.93","25.28","17.3","8.05",
"009010","Bergeggi","6.98","8.81","15.99","15.27",
"009011","Boissano","7.31","10.1","8.44","12.9",
"009012","Borghetto Santo Spirito","15.13","19.08","13.88","18.44",
"009013","Borgio Verezzi","12.38","13.93","11.72","19.84",
"009014","Bormida","15.15","23.17","15.42","36.22",
"009015","Cairo Montenotte","13.19","13.49","14.13","13.06",
"009016","Calice Ligure","13.34","10.42","13.91","11.61",
"009017","Calizzano","21.88","18.19","20.37","21.67",
"009018","Carcare","12.86","11.98","14.5","12.59",
"009019","Casanova Lerrone","17.51","13.47","14.86","10.88",
"009020","Castelbianco","0","21.12","12.21","21.54",
"009021","Castelvecchio di Rocca Barbena","12.9","40.13","28.17","21.9",
"009022","Celle Ligure","11.6","14.48","13.8","14.25",
"009023","Cengio","13.4","16.14","13.33","14.69",
"009024","Ceriale","10.31","13.36","12.77","12.94",
"009025","Cisano sul Neva","9.75","8.17","7.18","10.53",
"009026","Cosseria","12.49","11.71","11.89","12.03",
"009027","Dego","14.41","13.04","14.17","11.64",
"009028","Erli","26.72","36.22","8.06","24.69",
"009029","Finale Ligure","12.96","17.3","13.13","13.45",
"009030","Garlenda","6.42","14.45","12.83","7.19",
"009031","Giustenice","13.46","9.25","12.22","10.08",
"009032","Giusvalla","26.91","13.61","16.26","9.46",
"009033","Laigueglia","12.8","14.95","13.91","13.46",
"009034","Loano","11.65","14.7","13.98","17.02",
"009035","Magliolo","8.14","7.14","10.26","10.2",
"009036","Mallare","11.94","11.24","11.44","5.36",
"009037","Massimino","17.94","17.86","9.17","28.85",
"009038","Millesimo","14.46","14.68","17.17","14.93",
"009039","Mioglia","22.9","13.36","18.98","22.94",
"009040","Murialdo","12.94","17.69","14.35","11.99",
"009041","Nasino","14.05","14.32","19.61","30.46",
"009042","Noli","12.69","13.45","15.38","12.92",
"009043","Onzo","13.7","9.09","13.86","18.6",
"009044","Orco Feglino","12.44","13.5","11.19","11.19",
"009045","Ortovero","5.59","10.67","11.39","7.64",
"009046","Osiglia","15.28","24.44","26.85","4.38",
"009047","Pallare","17.02","21.48","7.52","19.34",
"009048","Piana Crixia","19.79","15.1","15.06","21.08",
"009049","Pietra Ligure","12.03","14.08","12.16","14.52",
"009050","Plodio","9.18","12.23","6.21","17.27",
"009051","Pontinvrea","9.42","16.53","14.27","22.84",
"009052","Quiliano","13.96","11.71","13.17","17.3",
"009053","Rialto","14.27","10.6","10.65","8.89",
"009054","Roccavignale","13.53","13.35","11.9","13.11",
"009055","Sassello","20.18","26.05","16.95","26.14",
"009056","Savona","13.45","15.06","14","15.66",
"009057","Spotorno","17.28","17.76","10.54","14.41",
"009058","Stella","11.18","10.93","9.94","9.94",
"009059","Stellanello","16.51","13.36","6.19","7.42",
"009060","Testico","18.87","19.7","25.38","15.15",
"009061","Toirano","8.17","10.89","9.76","13.09",
"009062","Tovo San Giacomo","5.09","6.22","7.39","10.2",
"009063","Urbe","26.01","23.83","17.34","11.55",
"009064","Vado Ligure","13.19","14.34","17.12","16.13",
"009065","Varazze","14.27","17.28","14.75","15.97",
"009066","Vendone","12.69","17.95","10.46","10.71",
"009067","Vezzi Portio","11.13","8.64","7.43","11.03",
"009068","Villanova d'Albenga","7.08","11.99","12.42","9.33",
"009069","Zuccarello","12.78","19.51","16.08","3.17",
"010001","Arenzano","11.46","13.75","12.26","12.72",
"010002","Avegno","11.33","12.21","9.86","11.48",
"010003","Bargagli","11.27","15.42","9.62","11.86",
"010004","Bogliasco","14.49","13.8","14.26","15.64",
"010005","Borzonasca","16.18","19.29","15.95","16",
"010006","Busalla","12.38","16.95","13.68","12.98",
"010007","Camogli","12.19","15.4","11.19","15.22",
"010008","Campo Ligure","15.99","19.18","14.56","16.45",
"010009","Campomorone","13.93","17.83","12.9","15.07",
"010010","Carasco","7.23","10.71","9.59","10.65",
"010011","Casarza Ligure","9.14","8.82","7.42","11.47",
"010012","Casella","12.55","10.78","9.88","12.76",
"010013","Castiglione Chiavarese","16.78","19.26","14.96","20.85",
"010014","Ceranesi","10.93","13.36","11.7","10.77",
"010015","Chiavari","13.06","14.52","13.9","14.7",
"010016","Cicagna","13.41","11.93","14.44","10.5",
"010017","Cogoleto","13.08","12.98","12.02","11.94",
"010018","Cogorno","10.97","12.71","8.75","10.28",
"010019","Coreglia Ligure","10.83","14.16","14.36","18.83",
"010020","Crocefieschi","12.75","20.11","16.47","20.26",
"010021","Davagna","19.55","13.79","9","14.74",
"010022","Fascia","11.43","48.48","64.1","41.1",
"010023","Favale di Malvaro","6.28","8.47","30.34","15.15",
"010024","Fontanigorda","22.1","18.25","14.73","26.42",
"010025","Genova","12.96","14.18","13.46","14.34",
"010026","Gorreto","21.05","20.94","0","21.05",
"010027","Isola del Cantone","14.91","19.47","17.61","23.88",
"010028","Lavagna","16.85","14.28","13.42","14.15",
"010029","Leivi","14.47","9.9","7.79","10.65",
"010030","Lorsica","19.07","15.14","13.09","13.54",
"010031","Lumarzo","18.64","11.04","19.76","11.22",
"010032","Masone","13.43","17.05","13.05","10.85",
"010033","Mele","11.19","17.83","13.57","12.14",
"010034","Mezzanego","11.17","17.29","12.33","9.72",
"010035","Mignanego","11.82","12.48","13.92","12.12",
"010036","Moconesi","12.16","14.51","11.15","16.8",
"010037","Moneglia","14.3","15.48","16.07","16.81",
"010038","Montebruno","12.99","4.26","20.92","25.59",
"010039","Montoggio","11.21","12.63","12.23","11.46",
"010040","Ne","14.71","19.37","16.4","13.86",
"010041","Neirone","24.24","22.59","26.64","23.05",
"010042","Orero","6.92","22.81","25.2","16.57",
"010043","Pieve Ligure","11.37","10.99","17","12.77",
"010044","Portofino","18.22","7.07","14.35","17.14",
"010045","Propata","34.36","35.09","21.28","43.48",
"010046","Rapallo","12.86","14.64","13.13","15.23",
"010047","Recco","11.66","15","16.56","14.55",
"010048","Rezzoaglio","24.19","26.72","22.26","25.69",
"010049","Ronco Scrivia","11.79","12.56","16.6","10.3",
"010050","Rondanina","14.93","15.75","31.75","32.26",
"010051","Rossiglione","14.74","21.76","15.57","17.66",
"010052","Rovegno","20.89","24.89","38.64","34.48",
"010053","San Colombano Certenoli","9.63","14.13","12.77","9.86",
"010054","Santa Margherita Ligure","15.73","16.91","15.41","16.46",
"010055","Sant'Olcese","16.93","17.35","14.37","14.19",
"010056","Santo Stefano d'Aveto","21.56","17.63","11.57","19.82",
"010057","Savignone","11.74","12.74","10.33","12.7",
"010058","Serra Riccò","10","12.8","10.32","12.02",
"010059","Sestri Levante","13.51","15.97","14.61","16.23",
"010060","Sori","14.51","16.56","12.41","17.37",
"010061","Tiglieto","23.7","27.3","24.01","18.6",
"010062","Torriglia","18.58","20.13","13.89","17.08",
"010063","Tribogna","16.37","16.53","16.31","26.45",
"010064","Uscio","12.97","16.29","16.7","12.92",
"010065","Valbrevenna","8.67","13.73","15.17","16.54",
"010066","Vobbia","18.8","21.74","19.73","22.5",
"010067","Zoagli","10.5","16.93","18.67","14.71",
"011001","Ameglia","13.57","14.58","12.82","16.72",
"011002","Arcola","12.9","13.84","12.32","14.05",
"011003","Beverino","12.45","15.62","9.94","12.09",
"011004","Bolano","11.43","10.96","11.26","12.52",
"011005","Bonassola","17.58","12.56","14.07","16.7",
"011006","Borghetto di Vara","16.93","15.96","19.17","21.51",
"011007","Brugnato","15.69","18.86","14.02","13.04",
"011008","Calice al Cornoviglio","12.37","15.89","11.59","14.47",
"011009","Carro","32.46","14.69","25.78","18.71",
"011010","Carrodano","25.44","23.72","22.09","22.43",
"011011","Castelnuovo Magra","9.35","12.93","12.36","13.13",
"011012","Deiva Marina","14.74","12.81","19.56","18.47",
"011013","Follo","8.05","11.88","10.72","9.65",
